rk,player,age,team,pos,g,mp,bpm,vorp,key,salary,salary_m,band
253,Dru Smith,28,MIA,SG,70,1141,2.2,1.2,dru smith,2584539,2.584539,Under $5M
254,Isaiah Hartenstein,27,OKC,C,47,1137,4.2,1.8,isaiah hartenstein,23148148,23.148148,$15-30M
255,Paul George,35,PHI,PF,37,1135,1.7,1.1,paul george,54126380,54.12638,Over $30M
256,Jarred Vanderbilt,26,LAL,PF,65,1128,-1.5,0.1,jarred vanderbilt,12428571,12.428571,$5-15M
257,De'Anthony Melton,27,GSW,PG,49,1125,-2.5,-0.1,deanthony melton,5477000,5.477,$5-15M
258,Luka Garza,27,BOS,C,69,1118,2.4,1.2,luka garza,2801346,2.801346,Under $5M
259,Taylor Hendricks,22,2TM,PF,59,1118,-2.4,-0.1,taylor hendricks,7805900,7.8059,$5-15M
260,John Konchar,29,2TM,SG,56,1115,0.9,0.8,john konchar,4504421,4.504421,Under $5M
261,Ousmane Dieng,22,2TM,C,57,1099,-3.8,-0.5,ousmane dieng,5750000,5.75,$5-15M
262,Jalen Smith,25,CHI,C,53,1095,-0.7,0.4,jalen smith,9428571,9.428571,$5-15M
263,Kentavious Caldwell-Pope,32,MEM,SG,51,1088,-2.5,-0.1,kentavious caldwell pope,20194392,20.194392,$15-30M
264,Hugo González,19,BOS,SF,74,1084,-1.5,0.1,hugo gonzalez,2923560,2.92356,Under $5M
265,Jusuf Nurkić,31,UTA,C,41,1083,1.1,0.9,jusuf nurkic,10576923,10.576923,$5-15M
266,Miles McBride,25,NYK,SG,41,1080,1.2,0.9,miles mcbride,3956523,3.956523,Under $5M
267,Corey Kispert,26,2TM,SF,58,1080,-1.9,0,corey kispert,13975000,13.975,$5-15M
269,Gradey Dick,22,TOR,SG,76,1067,-3.6,-0.4,gradey dick,7131511,7.131511,$5-15M
270,Giannis Antetokounmpo,31,MIL,PF,36,1039,9.5,3,giannis antetokounmpo,58456566,58.456566,Over $30M
271,Tyler Herro,26,MIA,SG,33,1033,2,1.1,tyler herro,33000000,33,Over $30M
273,Alex Caruso,31,OKC,SG,56,1020,1.9,1,alex caruso,19550160,19.55016,$15-30M
274,Franz Wagner,24,ORL,SF,34,1019,2.5,1.2,franz wagner,41754690,41.75469,Over $30M
276,Robert Williams,28,POR,C,59,1008,4.5,1.7,robert williams,13968254,13.968254,$5-15M
278,Aaron Gordon,30,DEN,PF,36,1005,1.7,0.9,aaron gordon,33658037,33.658037,Over $30M
279,Nae'Qwan Tomlin,25,CLE,PF,64,1004,-2.1,0,naeqwan tomlin,2411090,2.41109,Under $5M
280,Mike Conley,38,MIN,PG,54,991,-1.3,0.2,mike conley,2449421,2.449421,Under $5M
281,Olivier-Maxence Prosper,23,MEM,PF,53,984,-0.1,0.5,olivier maxence prosper,3500172,3.500172,Under $5M
282,Tyus Jones,29,3TM,PG,67,979,-2.4,-0.1,tyus jones,2449421,2.449421,Under $5M
283,Justin Edwards,22,PHI,SF,64,977,-1.3,0.2,justin edwards,2411090,2.41109,Under $5M
284,Ochai Agbaji,25,2TM,SG,62,973,-4,-0.5,ochai agbaji,2449421,2.449421,Under $5M
285,Goga Bitadze,26,ORL,C,64,972,2.8,1.2,goga bitadze,7608696,7.608696,$5-15M
286,Rob Dillingham,21,2TM,PG,65,970,-7.3,-1.3,rob dillingham,6889320,6.88932,$5-15M
287,Al Horford,39,GSW,C,45,969,1.6,0.9,al horford,6822000,6.822,$5-15M
288,T.J. McConnell,33,IND,PG,56,963,2.5,1.1,tj mcconnell,11000000,11,$5-15M
290,Anthony Gill,33,WAS,PF,55,951,-2.6,-0.2,anthony gill,2449421,2.449421,Under $5M
291,Kasparas Jakučionis,19,MIA,PG,53,945,-0.4,0.4,kasparas jakucionis,3841680,3.84168,Under $5M
292,Jalen Williams,24,OKC,SG,33,936,2.1,1,jalen williams,41500000,41.5,Over $30M
293,Jordan Poole,26,NOP,PG,39,933,-3.5,-0.4,jordan poole,34044642,34.044642,Over $30M
294,Clint Capela,31,HOU,C,75,926,0.4,0.6,clint capela,7035000,7.035,$5-15M
295,Ben Saraf,19,BRK,SG,44,916,-7.3,-1.2,ben saraf,3028560,3.02856,Under $5M
296,Micah Peavy,24,NOP,SG,61,913,-5.2,-0.7,micah peavy,2150917,2.150917,Under $5M
297,Karlo Matković,24,NOP,PF,62,912,0.7,0.6,karlo matkovic,2296271,2.296271,Under $5M
298,Josh Green,25,CHO,SG,58,908,-0.7,0.3,josh green,14679012,14.679012,$5-15M
299,Micah Potter,27,IND,C,47,908,0.7,0.6,micah potter,2801346,2.801346,Under $5M
300,Isaiah Jackson,24,2TM,C,55,908,-1.2,0.2,isaiah jackson,7000000,7,$5-15M
303,Paul Reed,26,DET,C,65,901,5.3,1.6,paul reed,5602689,5.602689,$5-15M
304,Jaden Hardy,23,2TM,SG,57,898,-4.8,-0.6,jaden hardy,6000000,6,$5-15M
306,Jaylen Clark,24,MIN,SG,68,888,-2.4,-0.1,jaylen clark,3086420,3.08642,Under $5M
308,Bryce McGowens,23,NOP,SG,42,880,-2.9,-0.2,bryce mcgowens,2584539,2.584539,Under $5M
311,Jevon Carter,30,2TM,PG,53,867,-1.1,0.2,jevon carter,2449421,2.449421,Under $5M
312,Trendon Watford,25,PHI,PF,53,864,-1.9,0,trendon watford,2449421,2.449421,Under $5M
313,Julian Strawther,23,DEN,SG,57,861,-2.3,-0.1,julian strawther,4826931,4.826931,Under $5M
315,Caleb Martin,30,DAL,SF,58,856,-2.2,0,caleb martin,10001493,10.001493,$5-15M
316,Kenrich Williams,31,OKC,PF,56,855,0.2,0.5,kenrich williams,5000000,5,Under $5M
317,Kyle Anderson,32,3TM,SF,43,853,0.4,0.5,kyle anderson,2449421,2.449421,Under $5M
318,Daeqwon Plowden,27,SAC,SG,32,844,-4.4,-0.5,daeqwon plowden,2449421,2.449421,Under $5M
319,Josh Minott,23,2TM,PF,49,834,2.5,1,josh minott,4500000,4.5,Under $5M
321,Jonathan Kuminga,23,2TM,PF,36,830,-2,0,jonathan kuminga,6064000,6.064,$5-15M
322,Jalen Green,23,PHO,SG,32,828,-1.1,0.2,jalen green,36251166,36.251166,Over $30M
324,Buddy Hield,33,2TM,SG,51,819,-1,0.2,buddy hield,9658536,9.658536,$5-15M
325,Carter Bryant,20,SAS,PF,71,818,-3,-0.2,carter bryant,5145360,5.14536,$5-15M
326,Nikola Jović,22,MIA,PF,47,808,-3.5,-0.3,nikola jovic,16200000,16.2,$15-30M
328,Keegan Murray,25,SAC,PF,23,793,-3.1,-0.2,keegan murray,24137936,24.137936,$15-30M
331,Kristaps Porziņģis,30,2TM,C,32,769,1.9,0.8,kristaps porzingis,19512195,19.512195,$15-30M
332,Jabari Walker,23,PHI,PF,64,762,-2.7,-0.1,jabari walker,2584539,2.584539,Under $5M
333,Noah Penda,21,ORL,SF,59,757,-1.5,0.1,noah penda,2150917,2.150917,Under $5M
334,Scoot Henderson,21,POR,PG,30,748,-2.2,0,scoot henderson,13585523,13.585523,$5-15M
335,Pete Nance,25,MIL,PF,47,737,-2.3,-0.1,pete nance,2537526,2.537526,Under $5M
